Price,Close,High,Low,Open,Volume
Ticker,NSC,NSC,NSC,NSC,NSC
Date,,,,,
1982-06-02,1.416825532913208,1.4498710425170702,1.408564190966211,1.4292176876495777,1081800
1982-06-03,1.3961728811264038,1.4168263903082794,1.3961728811264038,1.4085650433619132,672300
1982-06-04,1.3672575950622559,1.3920419117398144,1.3631269228879679,1.379649753401035,828900
1982-06-07,1.3879121541976929,1.3961733621744774,1.3631278211872935,1.37965066258889,287100
1982-06-08,1.3672575950622559,1.3920419117398144,1.3672575950622559,1.379649753401035,330300
1982-06-09,1.3672575950622559,1.379649753401035,1.3631269228879679,1.3713884090524593,841500
1982-06-10,1.3672575950622559,1.3713884090524593,1.3631269228879679,1.3672575950622559,591300
1982-06-11,1.3755204677581787,1.3920433149263576,1.36312829692803,1.379651144096209,1161000
1982-06-14,1.36312735080719,1.375519513036174,1.36312735080719,1.3713888395651659,498600
1982-06-15,1.3713889122009277,1.379650259580507,1.3631274230053811,1.3713889122009277,666900
1982-06-16,1.3713889122009277,1.379650259580507,1.3631274230053811,1.3713889122009277,239400
1982-06-17,1.3424737453460693,1.371388596330641,1.334212399869316,1.3548659053771344,937800
1982-06-18,1.3424737453460693,1.3548659053771344,1.3300815853150045,1.3424737453460693,1577700
1982-06-21,1.3589963912963867,1.3589963912963867,1.3424737008900294,1.3507351879091383,1314000
1982-06-22,1.4044344425201416,1.4044344425201414,1.3548663532732421,1.3796503978966919,702000
1982-06-23,1.4870481491088867,1.4870481491088867,1.4085650681076913,1.4498719453811644,765000
1982-06-24,1.4622639417648315,1.4787864922554044,1.4457411076423654,1.4622639417648315,720900
1982-06-25,1.4663951396942139,1.470525672433299,1.4581337905840486,1.4663951396942139,189000
1982-06-28,1.4705259799957275,1.4870488234878296,1.462264770973717,1.4746566554147462,223200
1982-06-29,1.4953099489212036,1.5035712977304054,1.4746562932662148,1.4911791327006105,670500
1982-06-30,1.5035706758499146,1.5077012067301256,1.4953093304576253,1.5035706758499146,1296000
1982-07-01,1.5035706758499146,1.5118318794262702,1.491178515945547,1.5035706758499146,903600
1982-07-02,1.5366159677505493,1.540746639824426,1.4953091051958671,1.5200931376391291,378900
1982-07-06,1.5366159677505493,1.5490078421562679,1.524223809713006,1.536615967750549,527400
1982-07-07,1.524224042892456,1.5324855301199842,1.50357067936347,1.5200933701866588,566100
1982-07-08,1.4994398355484009,1.5283545411893662,1.4705248462756002,1.4994398355484009,641700
1982-07-09,1.4870481491088867,1.5035709851078536,1.4746559866556708,1.4911788226546376,361800
1982-07-12,1.4829175472259521,1.4870482209713205,1.4705253841738781,1.4787867316646146,921600
1982-07-13,1.4870481491088867,1.4953096380163513,1.4705253131099196,1.4829174755631356,1000800
